product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,competitor_price,promotion_flag,revenue,price_gap,is_discounted,avg_weight_per_unit,price_per_gram,unit_price_scaled,qty_scaled,log_price,log_qty,quarter,is_holiday_season,brand_BrandB,brand_BrandC,brand_BrandD,category_level2_Electronics,category_level2_Furniture,category_level2_Grocery,category_level2_Toys
bed1,bed_bath_table,2017-01-05,1,45.95,15.1,45.95,39,161,2,350,4.0,57,23,8,1,1,2017,10.26739356,3800,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9,40.33326055226156,0,45.95,5.616739447738446,0,350.0,0.13128571428571428,0.07570473699505958,0.0,3.849083205654272,0.6931471805599453,1,0,False,True,False,False,False,True,False
bed1,bed_bath_table,2017-01-05,1,45.95,15.1,45.95,39,161,2,350,4.0,57,23,8,1,1,2017,10.26739356,3800,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9,32.39141444116006,0,45.95,13.558585558839944,0,350.0,0.13128571428571428,0.07570473699505958,0.0,3.849083205654272,0.6931471805599453,1,0,False,True,False,False,False,True,False
bed1,bed_bath_table,2017-01-05,1,45.95,15.1,45.95,39,161,2,350,4.0,57,23,8,1,1,2017,10.26739356,3800,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9,28.368179943348206,0,45.95,17.581820056651797,0,350.0,0.13128571428571428,0.07570473699505958,0.0,3.849083205654272,0.6931471805599453,1,0,False,True,False,False,False,True,False
bed1,bed_bath_table,2017-01-05,1,45.95,15.1,45.95,39,161,2,350,4.0,57,23,8,1,1,2017,10.26739356,3800,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9,37.43656446175077,0,45.95,8.513435538249233,0,350.0,0.13128571428571428,0.07570473699505958,0.0,3.849083205654272,0.6931471805599453,1,0,False,True,False,False,False,True,False
bed1,bed_bath_table,2017-01-06,3,137.85,12.93333333,45.95,39,161,2,350,4.0,61,22,8,1,1,2017,6.503115265,3800,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95,40.33326055226156,0,413.54999999999995,5.616739447738446,0,116.66666666666667,0.13128571428571428,0.07570473699505958,0.01652892561983471,3.849083205654272,1.3862943611198906,1,0,False,True,False,False,False,True,False
bed1,bed_bath_table,2017-01-06,3,137.85,12.93333333,45.95,39,161,2,350,4.0,61,22,8,1,1,2017,6.503115265,3800,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95,32.39141444116006,0,413.54999999999995,13.558585558839944,0,116.66666666666667,0.13128571428571428,0.07570473699505958,0.01652892561983471,3.849083205654272,1.3862943611198906,1,0,False,True,False,False,False,True,False
bed1,bed_bath_table,2017-01-06,3,137.85,12.93333333,45.95,39,161,2,350,4.0,61,22,8,1,1,2017,6.503115265,3800,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95,28.368179943348206,0,413.54999999999995,17.581820056651797,0,116.66666666666667,0.13128571428571428,0.07570473699505958,0.01652892561983471,3.849083205654272,1.3862943611198906,1,0,False,True,False,False,False,True,False
bed1,bed_bath_table,2017-01-06,3,137.85,12.93333333,45.95,39,161,2,350,4.0,61,22,8,1,1,2017,6.503115265,3800,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95,37.43656446175077,0,413.54999999999995,8.513435538249233,0,116.66666666666667,0.13128571428571428,0.07570473699505958,0.01652892561983471,3.849083205654272,1.3862943611198906,1,0,False,True,False,False,False,True,False
bed1,bed_bath_table,2017-01-07,6,275.7,14.84,45.95,39,161,2,350,4.0,123,21,10,1,1,2017,12.07165109,3800,89.9,3.9,13.99383333,205.0,4.4,22.1959322,45.95,4.0,14.84,45.95,40.33326055226156,0,1654.1999999999998,5.616739447738446,0,58.333333333333336,0.13128571428571428,0.07570473699505958,0.04132231404958678,3.849083205654272,1.9459101490553132,1,0,False,True,False,False,False,True,False
bed1,bed_bath_table,2017-01-07,6,275.7,14.84,45.95,39,161,2,350,4.0,123,21,10,1,1,2017,12.07165109,3800,89.9,3.9,13.99383333,205.0,4.4,22.1959322,45.95,4.0,14.84,45.95,32.39141444116006,0,1654.1999999999998,13.558585558839944,0,58.333333333333336,0.13128571428571428,0.07570473699505958,0.04132231404958678,3.849083205654272,1.9459101490553132,1,0,False,True,False,False,False,True,False
